Country,Confederation,Founded,Affiliated
Afghanistan,AFC,1933,1948
Anguilla,CONCACAF,1990,1996
Albania,UEFA,1930,1932
Algeria,CAF,1962,1964
Andorra,UEFA,1994,1996
Angola,CAF,1979,1980
Netherlands Antilles,CONCACAF,1921,1932
Argentina,CONMEBOL,1893,1912
Armenia,UEFA,1992,1992
Aruba,CONCACAF,1932,1988
American Samoa,OFC,1984,1998
Antigua and Barbuda,CONCACAF,1928,1972
Australia,AFC,1961,1963
Austria,UEFA,1904,1907
Azerbaijan,UEFA,1992,1994
Bahamas, The,CONCACAF,1967,1968
Bangladesh,AFC,1972,1976
Burundi,CAF,1948,1972
Belgium,UEFA,1895,1904
Benin,CAF,1962,1964
Bermuda,CONCACAF,1928,1962
Burkina Faso,CAF,1960,1964
Bahrain,AFC,1957,1968
Bhutan,AFC,1983,2000
Bosnia and Herzegovina,UEFA,1992,1996
Belarus,UEFA,1989,1992
Belize,CONCACAF,1980,1986
Bolivia,CONMEBOL,1925,1926
Botswana,CAF,1970,1978
Brazil,CONMEBOL,1914,1923
Barbados,CONCACAF,1910,1968
Brunei,AFC,1959,1972
Bulgaria,UEFA,1923,1924
Cambodia,AFC,1933,1954
Canada,CONCACAF,1912,1913
Cayman Islands,CONCACAF,1966,1992
Republic of the Congo,CAF,1962,1964
Chad,CAF,1962,1964
Chile,CONMEBOL,1895,1913
China PR,AFC,1924,1931
Côte d'Ivoire,CAF,1960,1964
Cameroon,CAF,1959,1964
Congo, Democratic Republic of the,CAF,1919,1964
Cook Islands,OFC,1971,1994
Colombia,CONMEBOL,1924,1936
Comoros,CAF,1979,2005
Cape Verde,CAF,1982,1986
Costa Rica,CONCACAF,1921,1927
Croatia,UEFA,1912,1992
Central African Republic,CAF,1961,1964
Cuba,CONCACAF,1924,1932
Cyprus,UEFA,1934,1948
Czech Republic,UEFA,1901,1907/94
Denmark,UEFA,1889,1904
Djibouti,CAF,1979,1994
Dominica,CONCACAF,1970,1994
Dominican Republic,CONCACAF,1953,1958
Ecuador,CONMEBOL,1925,1926
Egypt,CAF,1921,1923
England,UEFA,1863,1905
Equatorial Guinea,CAF,1960,1986
Eritrea,CAF,1996,1998
Spain,UEFA,1913,1904
Estonia,UEFA,1921,1923/92
Ethiopia,CAF,1943,1952
Fiji,OFC,1938,1964
Finland,UEFA,1907,1908
France,UEFA,1919,1904
Faroe Islands,UEFA,1979,1988
Gabon,CAF,1962,1966
Gambia, The,CAF,1952,1968
Georgia,UEFA,1990,1992
Germany,UEFA,1900,1904
Ghana,CAF,1957,1958
Guinea-Bissau,CAF,1974,1986
Greece,UEFA,1926,1927
Grenada,CONCACAF,1924,1978
Guatemala,CONCACAF,1919,1946
Guinea,CAF,1960,1962
Guam,AFC,1975,1996
Guyana,CONCACAF,1902,1970
Haiti,CONCACAF,1904,1934
Hong Kong,AFC,1914,1954
Honduras,CONCACAF,1951,1951
Hungary,UEFA,1901,1907
Indonesia,AFC,1930,1952
India,AFC,1937,1948
Ireland,UEFA,1921,1923
Iran,AFC,1920,1948
Iraq,AFC,1948,1950
Iceland,UEFA,1947,1947
Israel,UEFA,1928/48,1929
Italy,UEFA,1898,1905
Jamaica,CONCACAF,1910,1962
Jordan,AFC,1949,1956
Japan,AFC,1921,1929
Kazakhstan,UEFA,1914,1994
Kenya,CAF,1960,1960
Kyrgyzstan,AFC,1992,1994
South Korea,AFC,1928,1948
Saudi Arabia,AFC,1956,1956
Kuwait,AFC,1952,1964
Laos,AFC,1951,1952
Liberia,CAF,1936,1964
Libya,CAF,1962,1964
Saint Lucia,CONCACAF,1979,1988
Lesotho,CAF,1932,1964
Lebanon,AFC,1933,1936
Liechtenstein,UEFA,1934,1976
Lithuania,UEFA,1922,1923/92
Luxembourg,UEFA,1908,1910
Latvia,UEFA,1921,1923/92
Macau,AFC,1939,1978
Madagascar,CAF,1961,1964
Morocco,CAF,1955,1960
Malaysia,AFC,1933,1954
Moldova,UEFA,1990,1994
Maldives,AFC,1982,1986
Mexico,CONCACAF,1927,1929
Macedonia [FYROM],UEFA,1949,1994
Mali,CAF,1960,1964
Malta,UEFA,1900,1960
Montenegro,UEFA,1931,2007
Mongolia,AFC,1959,1998
Mozambique,CAF,1976,1980
Mauritius,CAF,1952,1964
Montserrat,CONCACAF,1994,1996
Mauritania,CAF,1961,1970
Malawi,CAF,1966,1968
Burma,AFC,1947,1948
Namibia,CAF,1990,1992
Nicaragua,CONCACAF,1931,1950
New Caledonia,OFC,1928,2004
Netherlands,UEFA,1889,1904
Nepal,AFC,1951,1972
Nigeria,CAF,1945,1960
Niger,CAF,1961,1964
Norway,UEFA,1902,1908
New Zealand,OFC,1891,1948
Oman,AFC,1978,1980
Pakistan,AFC,1948,1948
Panama,CONCACAF,1937,1938
Paraguay,CONMEBOL,1906,1925
Peru,CONMEBOL,1922,1924
Philippines,AFC,1907,1930
West Bank,AFC,1928/62,1998
Papua New Guinea,OFC,1962,1966
Poland,UEFA,1919,1923
Portugal,UEFA,1914,1923
North Korea,AFC,1945,1958
Puerto Rico,CONCACAF,1940,1960
Qatar,AFC,1960,1972
Romania,UEFA,1909,1923
South Africa,CAF,1991,1992
Russia,UEFA,1912,1912/92
Rwanda,CAF,1972,1978
Samoa,OFC,1968,1986
Scotland,UEFA,1873,1910
Senegal,CAF,1960,1964
Seychelles,CAF,1979,1986
Singapore,AFC,1892,1952
Saint Kitts and Nevis,CONCACAF,1932,1992
Sierra Leone,CAF,1967,1967
El Salvador,CONCACAF,1935,1938
San Marino,UEFA,1931,1988
Solomon Islands,OFC,1978,1988
Somalia,CAF,1951,1962
Serbia,UEFA,1919,1923
Sri Lanka,AFC,1939,1952
Sao Tome and Principe,CAF,1975,1986
Sudan,CAF,1936,1948
Switzerland,UEFA,1895,1904
Suriname,CONCACAF,1920,1929
Slovakia,UEFA,1993,1907/94
Slovenia,UEFA,1920,1992
Sweden,UEFA,1904,1904
Swaziland,CAF,1968,1978
Syria,AFC,1936,1937
Tahiti,OFC,1989,1990
Tanzania,CAF,1930,1964
Turks and Caicos Islands,CONCACAF,1996,1998
Tonga,OFC,1965,1994
Thailand,AFC,1916,1925
Tajikistan,AFC,1936,1994
Turkmenistan,AFC,1992,1994
Timor-Leste,AFC,2002,2005
Togo,CAF,1960,1964
Chinese Taipei,AFC,1936,1954
Trinidad and Tobago,CONCACAF,1908,1964
Tunisia,CAF,1957,1960
Turkey,UEFA,1923,1923
United Arab Emirates,AFC,1971,1974
Uganda,CAF,1924,1960
Ukraine,UEFA,1991,1992
Uruguay,CONMEBOL,1900,1923
United States,CONCACAF,1913,1914
Uzbekistan,AFC,1946,1994
Vanuatu,OFC,1934,1988
Venezuela,CONMEBOL,1926,1952
British Virgin Islands,CONCACAF,1974,1996
Vietnam,AFC,1962,1964
Saint Vincent and the Grenadines,CONCACAF,1979,1988
British Virgin Islands,CONCACAF,1992,1998
Wales,UEFA,1876,1910
Yemen,AFC,1962,1980
Zambia,CAF,1929,1964
Zimbabwe,CAF,1965,1965
United Kingdom,UEFA,1863,1910
Bosnia & Herzegovina,UEFA,NA,NA
Northern Ireland,UEFA,NA,NA
DR Congo,CAF,NA,NA
Cote D’Ivoire,CAF,1960,1964
Kosovo,UEFA,NA,NA
